37	1	15	78	10	30	93	65	38	33	22	26	74	18	
37	3	15	78	10	33	93	65	38	33	22	26	74	116	
37	5	15	78	10	40	93	65	38	33	22	26	74	204	
40	5	21	78	10	40	93	65	38	33	22	26	74	204	
43	5	21	73	10	40	93	65	38	33	22	26	74	204	
45	5	21	69	10	40	93	65	38	33	22	26	74	204	
46	5	27	69	10	40	93	65	38	33	22	26	74	204	
47	5	27	65	10	40	93	65	38	33	22	26	74	204	
48	5	27	61	10	40	93	65	38	33	22	26	74	204	
48	5	27	58	10	40	93	65	38	33	22	26	74	204	
48	5	27	55	10	40	93	65	38	33	22	26	74	204	
48	5	27	52	10	40	93	65	38	33	22	26	74	204	
47	5	27	50	10	40	93	65	38	33	22	26	74	204	
46	5	27	48	10	40	93	65	38	33	22	26	74	204	
45	5	27	46	10	40	93	65	38	33	22	26	74	204	
44	5	27	44	10	40	93	65	38	33	22	26	74	204	
43	5	27	43	10	40	93	65	38	33	22	26	74	204	
42	5	27	42	10	40	93	65	38	33	22	26	74	204	
41	5	27	41	10	40	93	65	38	33	22	26	74	204	
40	5	27	40	10	40	93	65	38	33	22	26	74	204	
39	5	27	39	10	40	93	65	38	33	22	26	74	204	
39	8	27	39	10	54	93	65	38	33	22	26	74	283	
38	8	27	38	10	54	93	65	38	33	22	26	74	283	
37	8	27	37	10	54	93	65	38	33	22	26	74	283	
36	8	27	36	10	54	93	65	38	33	22	26	74	283	
35	8	32	36	10	54	93	65	38	33	22	26	74	283	
34	8	32	35	10	54	93	65	38	33	22	26	74	283	
33	8	32	34	10	54	93	65	38	33	22	26	74	283	
32	8	32	34	10	54	93	65	38	33	22	26	74	283	
31	8	32	34	10	54	93	65	38	33	22	26	74	283	
30	8	32	34	10	54	93	65	38	33	22	26	74	283	
30	8	37	34	10	54	93	65	38	33	22	26	74	283	
30	8	41	34	10	54	93	65	38	33	22	26	74	283	
30	8	45	34	10	54	93	65	38	33	22	26	74	283	
31	8	48	34	10	54	93	65	38	33	22	26	74	283	
32	8	51	34	10	54	93	65	38	33	22	26	74	283	
33	8	54	34	10	54	93	65	38	33	22	26	74	283	
34	8	56	34	10	54	93	65	38	33	22	26	74	283	
35	8	58	34	10	54	93	65	38	33	22	26	74	283	
36	8	60	34	10	54	93	65	38	33	22	26	74	283	
37	8	62	34	10	54	93	65	38	33	22	26	74	283	
38	8	64	34	10	54	93	65	38	33	22	26	74	283	
39	8	65	34	10	54	93	65	38	33	22	26	74	283	
40	8	66	34	10	54	93	65	38	33	22	26	74	283	
41	8	67	34	10	54	93	65	38	33	22	26	74	283	
41	12	67	34	10	74	93	65	38	33	22	26	74	354	
